Video analysis detailed log

Face Model	General
Calibration	Continuous
Start time	1/12/2023 12:56:43.770
Filename	C:\Charles-Pension\Session-11212022\29-11\PC2-29-11-2022-11-47-02.mp4
Frame rate	7.199053521

Age	Gender
22.000000000	Female


Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Valence	Arousal	Stimulus	Event Marker
00:00:00.000	0.944283700	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.281983300	No Stimulus	No Event Marker
00:00:00.138	0.951962100	0.000000000	0.000000000	0.000245032	0.003908519	0.000578227	0.000059902	-0.000578227	0.282458500	No Stimulus	No Event Marker
00:00:00.277	0.937159300	0.000654589	0.021285060	0.000324342	0.002709385	0.000590761	0.001172092	-0.020630480	0.282458500	No Stimulus	No Event Marker
00:00:00.416	0.944544700	0.000633620	0.016875720	0.000650639	0.001787097	0.000389663	0.000865645	-0.016242100	0.281875800	No Stimulus	No Event Marker
00:00:00.555	0.956076600	0.000417933	0.011131150	0.000429159	0.001178761	0.000257020	0.000570975	-0.010713210	0.280758300	No Stimulus	No Event Marker
00:00:00.694	0.926153500	0.001620434	0.063237560	0.000822253	0.000777506	0.000169529	0.002333978	-0.061617130	0.279270600	No Stimulus	No Event Marker
00:00:00.833	0.947865400	0.001068831	0.041711210	0.000748517	0.000512839	0.000111821	0.001539481	-0.040642380	0.277281100	No Stimulus	No Event Marker
00:00:00.972	0.959707400	0.002249723	0.027512520	0.002165412	0.000338266	0.000073756	0.001597077	-0.025262800	0.275674000	No Stimulus	No Event Marker
00:00:01.111	0.964432400	0.001643081	0.018147130	0.001428296	0.013170290	0.000048649	0.001053425	-0.016504050	0.274145500	No Stimulus	No Event Marker
00:00:01.250	0.975601100	0.001083768	0.011969760	0.000942098	0.009950378	0.000032089	0.000694834	-0.010886000	0.272320400	No Stimulus	No Event Marker
00:00:01.389	0.971059100	0.000714849	0.007895202	0.000621403	0.026090980	0.000584013	0.000458310	-0.007180354	0.270620200	No Stimulus	No Event Marker
00:00:01.527	0.978306200	0.000776651	0.005207638	0.000663929	0.017209490	0.000385212	0.000302299	-0.004430988	0.269036500	No Stimulus	No Event Marker
00:00:01.666	0.951880300	0.024878450	0.003434935	0.009584364	0.011351300	0.016786890	0.000199395	0.008091561	0.267722700	No Stimulus	No Event Marker
00:00:01.805	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	No Stimulus	No Event Marker
00:00:01.944	0.567719300	0.036244590	0.001494424	0.294386500	0.004938567	0.018126120	0.001173771	-0.258141900	0.267722700	No Stimulus	No Event Marker
